cluster,buyer_count,avg_age,avg_satisfaction,avg_properties_bought,avg_total_investment,avg_property_price,avg_max_property_price,avg_floor_area_sqft,avg_total_floor_area,avg_investment_per_sqft,avg_purchase_duration_days,dominant_client_type,client_type_percentage,dominant_country,country_percentage,dominant_region,region_percentage,dominant_acquisition_purpose,acquisition_purpose_percentage,dominant_loan_status,loan_status_percentage,dominant_referral_channel,referral_channel_percentage,dominant_unit_category,unit_category_percentage,buyer_segment
0,614,54.91,2.85,3.59,1158513.61,324368.94,477177.7,1030.22,3683.49,315.16,412.71,Individual,94.95,USA,77.85,California,30.78,Home,66.94,No,64.98,Website,57.0,Apartment,95.93,Mid-Value Home Buyers
1,87,63.68,3.53,6.33,2147601.19,342983.85,529116.72,1138.88,7126.49,301.26,515.94,Individual,95.4,USA,88.51,California,56.32,Home,71.26,No,65.52,Website,60.92,Apartment,98.85,High-Value Bulk Investors
2,663,54.45,3.06,3.51,1474309.47,422852.25,552835.31,1387.3,4839.35,304.86,394.51,Individual,94.57,USA,77.07,California,31.67,Home,69.53,No,62.44,Website,56.71,Apartment,96.83,Luxury Space Buyers
3,636,56.08,3.1,3.5,1014331.96,290608.1,401798.49,1011.85,3531.34,287.82,378.07,Individual,94.97,USA,74.21,California,29.09,Home,70.91,No,61.95,Website,50.94,Apartment,98.11,Budget-Conscious Home Buyers
